1.0 NONTERMINAL NP+ADVP
254.0 NONTERMINAL VP+VERB
65.0 NONTERMINAL SBAR
3405.0 NONTERMINAL SBARQ
81.0 NONTERMINAL ADJP
30.0 NONTERMINAL WHADVP
1808.0 NONTERMINAL DET
1.0 NONTERMINAL S+VP+VERB
2.0 NONTERMINAL NP+QP
2.0 NONTERMINAL NP+S
11.0 NONTERMINAL SBAR+S
3.0 NONTERMINAL NP+X
3.0 NONTERMINAL NP+NP
251.0 NONTERMINAL SQ+VP
68.0 NONTERMINAL CONJ
569.0 NONTERMINAL WHNP
301.0 NONTERMINAL WHADVP+ADV
85.0 NONTERMINAL S
1.0 NONTERMINAL NX
1024.0 NONTERMINAL PP
3852.0 NONTERMINAL NOUN
4.0 NONTERMINAL NP+ADJ
27.0 NONTERMINAL PRT+PRT
280.0 NONTERMINAL PRT
1.0 NONTERMINAL WHNP+WHNP
2032.0 NONTERMINAL .
1.0 NONTERMINAL PP+NOUN
24.0 NONTERMINAL WHPP
103.0 NONTERMINAL NUM
50.0 NONTERMINAL NP+NUM
4813.0 NONTERMINAL NP
90.0 NONTERMINAL S+VP
25.0 NONTERMINAL NP+DET
244.0 NONTERMINAL ADV
16.0 NONTERMINAL VP+NOUN
19.0 NONTERMINAL ADJP+ADJ
1010.0 NONTERMINAL ADP
1.0 NONTERMINAL NP+PP
1.0 NONTERMINAL PP+PP+ADP
2.0 NONTERMINAL ADVP+ADJ
803.0 NONTERMINAL VP
6.0 NONTERMINAL PP+PRT
817.0 NONTERMINAL WHNP+PRON
2349.0 NONTERMINAL VERB
1.0 NONTERMINAL NP+S+VP
17.0 NONTERMINAL X
656.0 NONTERMINAL NP+NOUN
916.0 NONTERMINAL ADJ
14.0 NONTERMINAL ADVP
10.0 NONTERMINAL SBAR+S+VP
7.0 NONTERMINAL QP
23.0 NONTERMINAL WHNP+DET
2081.0 NONTERMINAL SQ
38.0 NONTERMINAL ADVP+ADV
2.0 NONTERMINAL NP+VERB
124.0 NONTERMINAL WHADJP
114.0 NONTERMINAL NP+PRON
73.0 NONTERMINAL PRON
1.0 NONTERMINAL NP+SBAR+S
1.0 NONTERMINAL VP+S+VP
1.0 NONTERMINAL SBAR+VP
113.0 NONTERMINAL PP+ADP
7.0 UNARYRULE . _RARE_
653.0 UNARYRULE WHNP+PRON What
3.0 UNARYRULE NOUN British
3.0 UNARYRULE . <
6.0 UNARYRULE NOUN horse
1.0 UNARYRULE NP+NOUN Washington
7.0 UNARYRULE NOUN war
5.0 UNARYRULE NUM one
19.0 UNARYRULE VERB get
18.0 UNARYRULE VP+VERB called
3.0 UNARYRULE PRON what
1.0 UNARYRULE NP+VERB called
9.0 UNARYRULE ADV much
14.0 UNARYRULE ADJ much
18.0 UNARYRULE WHNP+DET that
5.0 UNARYRULE NOUN house
4.0 UNARYRULE ADV how
6.0 UNARYRULE ADJ different
42.0 UNARYRULE NOUN year
4.0 UNARYRULE NOUN animal
13.0 UNARYRULE VERB have
5.0 UNARYRULE ADJ last
6.0 UNARYRULE NOUN language
1.0 UNARYRULE NP+NOUN school
1.0 UNARYRULE NP+NOUN color
12.0 UNARYRULE WHADVP+ADV when
31.0 UNARYRULE ADVP+ADV _RARE_
5.0 UNARYRULE NP+NOUN Earth
1.0 UNARYRULE VERB mean
7.0 UNARYRULE NOUN countries
6.0 UNARYRULE ADJ high
5.0 UNARYRULE NOUN years
1.0 UNARYRULE NP+NOUN animal
5.0 UNARYRULE NOUN William
1.0 UNARYRULE VP+VERB fear
7.0 UNARYRULE NOUN point
5.0 UNARYRULE ADP before
17.0 UNARYRULE ADP In
2.0 UNARYRULE NOUN power
1.0 UNARYRULE VP+VERB write
23.0 UNARYRULE VP+VERB born
4.0 UNARYRULE NP+NOUN Liberty
10.0 UNARYRULE VERB become
5.0 UNARYRULE NOUN ball
1.0 UNARYRULE NP+NOUN average
3.0 UNARYRULE NOUN types
5.0 UNARYRULE NOUN song
18.0 UNARYRULE ADJP+ADJ _RARE_
1.0 UNARYRULE VP+VERB founded
5.0 UNARYRULE WHNP+PRON what
33.0 UNARYRULE NP+PRON I
5.0 UNARYRULE VP+VERB located
17.0 UNARYRULE NOUN population
4.0 UNARYRULE VERB painted
1.0 UNARYRULE NOUN France
1.0 UNARYRULE VERB born
3.0 UNARYRULE VP+VERB live
156.0 UNARYRULE PRT <s
62.0 UNARYRULE ADJ first
2.0 UNARYRULE NP+NOUN office
1.0 UNARYRULE NP+NOUN sport
5.0 UNARYRULE ADJ South
